TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,553200,36.64508060327925,145432.0,2.9004878887399075,102032.0,145432.0,0.0,0.0,0.0,14450688,4.756253388792623,38.81401617250674,functional_2_1/mobilenetv2_1.00_224_1/Conv1_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/bn_Conv1_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/Conv1_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/bn_Conv1_1/batchnorm/sub1
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,803520,53.22678085022946,151312.0,3.0177582885541896,151312.0,115712.0,0.0,0.0,0.0,3612672,1.1890633471981558,9.32642487046632,functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,602736,39.92644487074859,75264.0,1.5010611176228092,50576.0,75264.0,0.0,0.0,0.0,6422528,2.1138903950189434,33.33333333333333,functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,1407872,93.26027281109897,306994.0,6.122671619147225,306994.0,201600.0,0.0,0.0,0.0,19267584,6.341671185056831,24.516440060717798,functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,1507264,99.84419878962598,243552.0,4.857387825776872,130262.0,243552.0,0.0,0.0,0.0,2709504,0.8917975103986169,4.345683878596768,functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,403760,26.745874447541627,50176.0,1.0007074117485395,28896.0,50176.0,0.0,0.0,0.0,7225344,2.3781266943963115,56.25,functional_2_1/mobilenetv2_1.00_224_1/block_1_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_1_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,557344,36.91958749774777,121543.0,2.424046973576067,121543.0,96768.0,0.0,0.0,0.0,10838016,3.5671900415944675,34.83211702854134,functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,1006480,66.6712594461108,170128.0,3.3930235679598924,170128.0,130176.0,0.0,0.0,0.0,4064256,1.3376962655979252,9.331797235023041,functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,656160,43.465358077815814,68992.0,1.375972691154242,47840.0,68992.0,0.0,0.0,0.0,10838016,3.5671900415944675,61.36363636363637,functional_2_1/mobilenetv2_1.00_224_1/block_2_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_2_project_BN_1/batchnorm/sub
ADD,Add,200704,13.2950366185838,75264.0,1.5010611176228092,75264.0,37632.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_2_add_1/Add
CONV_2D,Conv2DBias,557312,36.91746775338894,121543.0,2.424046973576067,121543.0,96768.0,0.0,0.0,0.0,10838016,3.5671900415944675,34.83211702854134,functional_2_1/mobilenetv2_1.00_224_1/block_3_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_3_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_3_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_3_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,567440,37.588366842958735,106776.0,2.1295347296887366,58982.0,106776.0,0.0,0.0,0.0,1016064,0.3344240663994813,3.717127444369521,functional_2_1/mobilenetv2_1.00_224_1/block_3_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_3_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_3_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_3_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_3_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_3_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,143200,9.485856005765704,17248.0,0.3439931727885605,16704.0,17248.0,0.0,0.0,0.0,3612672,1.1890633471981558,81.81818181818183,functional_2_1/mobilenetv2_1.00_224_1/block_3_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_3_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_3_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,183680,12.167332619686066,38152.0,0.760901410495661,38152.0,28224.0,0.0,0.0,0.0,4816896,1.5854177962642078,49.31851541203607,functional_2_1/mobilenetv2_1.00_224_1/block_4_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_4_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_4_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_4_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,330080,21.8651630613348,57232.0,1.141431891525678,57232.0,43392.0,0.0,0.0,0.0,1354752,0.44589875519930844,9.246575342465754,functional_2_1/mobilenetv2_1.00_224_1/block_4_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_4_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_4_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_4_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_4_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_4_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,206880,13.704147279838052,21952.0,0.43780949263998603,19952.0,21952.0,0.0,0.0,0.0,4816896,1.5854177962642078,85.71428571428571,functional_2_1/mobilenetv2_1.00_224_1/block_4_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_4_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_4_project_BN_1/batchnorm/sub
ADD,Add,50176,3.32375915464595,18816.0,0.3752652794057023,18816.0,9408.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_4_add_1/Add
CONV_2D,Conv2DBias,183680,12.167332619686066,38152.0,0.760901410495661,38152.0,28224.0,0.0,0.0,0.0,4816896,1.5854177962642078,49.31851541203607,functional_2_1/mobilenetv2_1.00_224_1/block_5_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_5_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_5_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_5_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,330080,21.8651630613348,57232.0,1.141431891525678,57232.0,43392.0,0.0,0.0,0.0,1354752,0.44589875519930844,9.246575342465754,functional_2_1/mobilenetv2_1.00_224_1/block_5_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_5_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_5_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_5_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_5_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_5_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,206880,13.704147279838052,21952.0,0.43780949263998603,19952.0,21952.0,0.0,0.0,0.0,4816896,1.5854177962642078,85.71428571428571,functional_2_1/mobilenetv2_1.00_224_1/block_5_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_5_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_5_project_BN_1/batchnorm/sub
ADD,Add,50176,3.32375915464595,18816.0,0.3752652794057023,18816.0,9408.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_5_add_1/Add
CONV_2D,Conv2DBias,183648,12.165212875327235,38152.0,0.760901410495661,38152.0,28224.0,0.0,0.0,0.0,4816896,1.5854177962642078,49.31851541203607,functional_2_1/mobilenetv2_1.00_224_1/block_6_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_6_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_6_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_6_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,192112,12.725885258237856,28896.0,0.5763002505159001,16732.0,28896.0,0.0,0.0,0.0,338688,0.11147468879982711,4.578488372093023,functional_2_1/mobilenetv2_1.00_224_1/block_6_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_6_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_6_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_6_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_6_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_6_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,62208,4.120783033566152,11832.0,0.23597676370792253,11832.0,6944.0,0.0,0.0,0.0,2408448,0.7927088981321039,79.5131845841785,functional_2_1/mobilenetv2_1.00_224_1/block_6_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_6_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_6_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,113568,7.522972729488823,22400.0,0.4467443802448837,22400.0,20160.0,0.0,0.0,0.0,4816896,1.5854177962642078,84.0,functional_2_1/mobilenetv2_1.00_224_1/block_7_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_7_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_7_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_7_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,170960,11.324734237051011,29008.0,0.5785339724171245,29008.0,18816.0,0.0,0.0,0.0,677376,0.22294937759965422,9.121621621621621,functional_2_1/mobilenetv2_1.00_224_1/block_7_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_7_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_7_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_7_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_7_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_7_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,123952,8.210829773929264,23256.0,0.4638163976328132,23256.0,12320.0,0.0,0.0,0.0,4816896,1.5854177962642078,80.90815273477813,functional_2_1/mobilenetv2_1.00_224_1/block_7_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_7_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_7_project_BN_1/batchnorm/sub
ADD,Add,25088,1.661879577322975,9408.0,0.18763263970285116,9408.0,4704.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_7_add_1/Add
CONV_2D,Conv2DBias,106544,7.057688842725568,26800.0,0.5344977406501288,26800.0,20160.0,0.0,0.0,0.0,4816896,1.5854177962642078,70.2089552238806,functional_2_1/mobilenetv2_1.00_224_1/block_8_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_8_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_8_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_8_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,170928,11.322614492692182,29008.0,0.5785339724171245,29008.0,18816.0,0.0,0.0,0.0,677376,0.22294937759965422,9.121621621621621,functional_2_1/mobilenetv2_1.00_224_1/block_8_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_8_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_8_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_8_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_8_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_8_depthwise_BN_1/batchnorm/sub
